X-Position Letter Count Frequency
0          A      3060  0.0636969192339717
1          B      1022  0.021273938384679433
2          C      1412  0.02939217318900916
3          D      2610  0.054329725228975854
4          E      8410  0.1750624479600333
5          F      882   0.01835970024979184
6          G      1284  0.02672772689425479
7          H      1917  0.03990424646128227
8          I      4162  0.08663613655287261
9          J      103   0.002144046627810158
10         K      565   0.011761032472939217
11         L      1945  0.04048709408825978
12         M      1112  0.0231473771856786
13         N      5064  0.10541215653621981
14         O      1309  0.027248126561199
15         P      304   0.006328059950041632
16         Q      103   0.002144046627810158
17         R      2931  0.06101165695253955
18         S      3096  0.06444629475437136
19         T      2861  0.05955453788509575
20         U      1865  0.0388218151540383
21         V      407   0.00847210657785179
22         W      862   0.01794338051623647
23         X      45    0.0009367194004995837
24         Y      28    0.0005828476269775188
25         Z      681   0.014175686927560367
